City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
438,Machico,PT,64.06,scattered clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
440,Nedjo,ET,60.55,scattered clouds,9.5046,35.5019,Yerosan Hotel
443,Oriximina,BR,74.59,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
446,Finote Selam,ET,59.59,scattered clouds,10.7,37.2667,Kidanemihiret vilage with Anduamlak Alelign(ONEGOD)
447,Benghazi,LY,54.21,clear sky,32.1167,20.0667,Tibesti Hotel
448,Tabora,TZ,63.59,overcast clouds,-5.0167,32.8,Barcelona Lodge
450,Gwadar,PK,69.06,clear sky,25.1216,62.3254,Sadaf Resort
452,Toro,CO,74.08,overcast clouds,4.6117,-76.0814,"Finca La María Toro, Valle del Cauca"
454,Copiapo,CL,66.7,clear sky,-27.3667,-70.3333,Antay Casino Hotel
462,Santa Vitoria Do Palmar,BR,71.47,scattered clouds,-33.5189,-53.3681,Hostel Comodoro
464,Harrisburg,US,56.08,few clouds,40.2737,-76.8844,Hilton Harrisburg
465,Berbera,SO,72.95,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
467,Chipinge,ZW,59.2,broken clouds,-20.1883,32.6236,Chipinge Breeze Lodge
469,Pirai Do Sul,BR,58.33,clear sky,-24.5261,-49.9486,Victor Hotel
475,Mattru,SL,72.43,scattered clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
478,Navirai,BR,71.08,clear sky,-23.065,-54.1906,Dubai Hotel - Também sua casa!
483,Faya,SA,51.91,clear sky,18.3851,42.4509,املاك خالد الشعشوع
485,Bahia Honda,CU,72.05,broken clouds,22.9036,-83.1592,Casa Gualberto - Deysi
486,Sur,OM,68.97,clear sky,22.5667,59.5289,Sur Plaza Hotel
489,Puerto Madryn,AR,63.0,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
491,Plettenberg Bay,ZA,64.98,clear sky,-34.0527,23.3716,Thanda Vista B&B
494,Fort Abbas,PK,66.96,clear sky,29.1925,72.8536,AsAd's House
495,Ajdabiya,LY,50.47,clear sky,30.7554,20.2263,Almadina Hotel
498,Mercedes,AR,57.63,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
499,Salinas,US,67.69,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
500,Lar,IN,61.23,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
501,Clearwater,US,61.41,clear sky,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
502,Tacuarembo,UY,73.42,overcast clouds,-31.7333,-55.9833,Complejo San Fructuoso
505,Tifton,US,51.51,broken clouds,31.4505,-83.5085,Hilton Garden Inn Tifton
511,Mian Channun,PK,62.78,clear sky,30.44,72.3543,Fateh Din Colony
