City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Lodja,CD,-3.4833,23.4333,69.33,97,100,1.36,overcast clouds
176,Victoria Falls,ZW,-17.9235,25.843,65.91,94,100,1.21,overcast clouds
177,Padang,ID,-0.9492,100.3543,89.65,63,100,4.47,overcast clouds
178,Saint George,US,37.1041,-113.5841,63.19,24,0,18.41,clear sky
179,Tocache,PE,-8.1842,-76.5125,70.47,98,100,1.9,overcast clouds
180,Iskateley,RU,67.6803,53.1512,13.03,92,100,16.84,light snow
181,Inirida,CO,3.8653,-67.9239,74.79,83,94,1.57,overcast clouds
182,Carnarvon,AU,-24.8667,113.6333,89.67,62,3,14.97,clear sky
183,Belyy Yar,RU,53.6039,91.3903,-20.31,76,20,0.0,smoke
184,Arrifes,PT,37.7667,-25.7,58.23,67,75,10.36,broken clouds
185,Namangan,UZ,40.9983,71.6726,41.45,70,100,6.91,mist
186,Kidal,ML,18.4411,1.4078,63.1,16,57,7.38,broken clouds
187,Westport,US,41.1415,-73.3579,50.92,62,0,15.99,clear sky
188,Kolosovka,RU,56.4678,73.611,-10.71,97,6,10.13,clear sky
189,Trelew,AR,-43.249,-65.3051,62.37,44,84,14.32,broken clouds
190,Russkoye,UA,45.0167,34.8,33.67,87,10,4.07,clear sky
191,Itarema,BR,-2.9248,-39.9167,77.63,81,68,8.52,broken clouds
192,Curaca,BR,-8.9903,-39.9094,77.23,70,41,2.15,light rain
193,Maceio,BR,-9.6658,-35.7353,78.24,83,40,3.44,scattered clouds
194,Kurdzhinovo,RU,43.9884,40.9552,27.01,80,4,5.73,clear sky
195,Mtwara,TZ,-10.2667,40.1833,77.56,86,100,6.29,overcast clouds
196,Paamiut,GL,61.994,-49.6678,32.14,80,100,29.35,overcast clouds
197,Viedma,AR,-40.8135,-62.9967,58.51,44,1,8.28,clear sky
198,Chake Chake,TZ,-5.2459,39.7666,78.91,78,100,5.86,overcast clouds
199,Dolores,AR,-36.3132,-57.6792,54.81,89,100,12.17,moderate rain
200,Naples,IT,40.8333,14.25,51.75,89,0,3.44,clear sky
201,Botshabelo,ZA,-29.2702,26.7052,58.37,49,4,6.26,clear sky
202,Nowy Dwor Gdanski,PL,54.2131,19.1177,29.98,72,0,7.31,clear sky
203,Padilla,CO,3.2204,-76.3139,71.17,96,100,1.63,overcast clouds
204,San Lorenzo,PY,-25.3333,-57.5333,77.94,69,0,13.8,clear sky
205,Skelleftea,SE,64.7507,20.9528,17.96,93,40,8.05,scattered clouds
206,Simplicio Mendes,BR,-7.8539,-41.9103,70.3,96,86,1.16,overcast clouds
207,Yenagoa,NG,4.9247,6.2642,76.44,87,4,2.73,clear sky
208,Monrovia,LR,6.3005,-10.7969,77.65,89,9,6.06,clear sky
209,Kisangani,CD,0.5167,25.2,71.38,77,100,2.62,overcast clouds
210,Ginir,ET,7.1333,40.7,55.06,43,79,3.29,broken clouds
211,Teshie,GH,5.5836,-0.1072,79.88,81,60,7.65,broken clouds
212,Mbanza-Ngungu,CD,-5.25,14.8667,65.61,95,100,1.3,light rain
213,Santiago Del Estero,AR,-27.7951,-64.2615,64.98,87,100,11.72,overcast clouds
214,Banapur,IN,19.7833,85.1833,74.84,32,99,6.4,overcast clouds
215,Castro,BR,-24.7911,-50.0119,58.15,97,7,5.37,clear sky
216,Rawson,AR,-43.3002,-65.1023,62.15,49,87,16.37,overcast clouds
217,Bonfim,BR,3.0833,-59.95,79.39,64,30,9.26,scattered clouds
218,Ganta,LR,7.3022,-8.5308,61.81,62,3,1.66,clear sky
219,Pafos,CY,34.7667,32.4167,44.38,76,0,9.22,clear sky
220,Sokolow Podlaski,PL,52.4068,22.2531,31.08,81,79,15.17,broken clouds
221,Yarmouth,US,41.7057,-70.2286,47.17,86,0,8.05,clear sky
222,Mamonovo,RU,54.4643,19.938,33.85,65,2,12.75,clear sky
223,Tessalit,ML,20.1986,1.0114,62.06,18,18,7.74,few clouds
224,Aripuana,BR,-9.1667,-60.6333,72.55,97,97,2.37,light rain
225,Isiro,CD,2.7739,27.616,68.41,48,100,1.59,overcast clouds
226,Saint-Denis,FR,48.9167,2.3333,36.37,85,0,5.75,clear sky
227,El Triunfo,EC,-1.9333,-79.9667,77.04,92,55,3.13,light rain
228,Porbandar,IN,21.6422,69.6093,73.38,35,1,10.36,clear sky
229,Bhikangaon,IN,21.8667,75.95,67.21,27,3,7.07,clear sky
230,Mehamn,NO,71.0357,27.8492,25.29,65,91,10.13,light snow
231,Sinnamary,GF,5.3833,-52.95,75.76,89,78,9.51,broken clouds
232,Manavalakurichi,IN,8.1333,77.3,86.09,62,66,5.03,broken clouds
233,Podgornoye,RU,51.735,39.1496,19.62,100,100,6.71,fog
234,Palora,EC,-1.7,-77.9333,66.06,97,100,2.64,light rain
235,Manta,EC,-0.95,-80.7333,75.56,81,63,5.86,broken clouds
236,Sinj,HR,43.7036,16.6394,46.29,73,100,10.02,overcast clouds
237,Edd,ER,13.9297,41.6925,76.3,70,1,2.35,clear sky
238,Tarko-Sale,RU,64.9225,77.785,-10.66,90,2,12.17,clear sky
239,Sloboda,RU,51.1421,40.3021,21.51,94,100,2.59,overcast clouds
240,Namibe,AO,-15.1961,12.1522,75.61,82,100,2.89,overcast clouds
241,Mitu,CO,1.1983,-70.1733,72.54,94,97,1.81,overcast clouds
242,Kibaya,TZ,-5.3,36.5667,57.72,98,100,2.04,moderate rain
243,Narsaq,GL,60.9167,-46.05,30.42,90,100,9.57,light snow
244,Naron,ES,43.5167,-8.1528,46.02,90,14,3.71,few clouds
245,Poli,TZ,-3.3333,36.8,59.85,86,100,2.3,overcast clouds
246,Belmonte,BR,-15.8631,-38.8828,79.3,88,27,1.99,scattered clouds
247,Camocim,BR,-2.9022,-40.8411,76.12,88,90,7.14,overcast clouds
248,Dakar,SN,14.6937,-17.4441,76.08,46,12,18.52,few clouds
249,Neustrelitz,DE,53.3667,13.0833,29.48,88,6,5.32,clear sky
250,Sorland,NO,67.667,12.6934,32.92,54,82,24.14,light snow
